Size (n*n),Runtime
1,9.202957153320312e-05
2,1.1205673217773438e-05
3,5.9604644775390625e-06
4,5.0067901611328125e-06
5,5.245208740234375e-06
6,5.245208740234375e-06
7,6.198883056640625e-06
8,5.7220458984375e-06
9,5.0067901611328125e-06
10,6.198883056640625e-06
11,5.0067901611328125e-06
12,6.9141387939453125e-06
13,1.1920928955078125e-05
14,6.198883056640625e-06
15,5.9604644775390625e-06
16,5.9604644775390625e-06
17,5.9604644775390625e-06
18,5.245208740234375e-06
19,5.0067901611328125e-06
20,6.198883056640625e-06
21,5.9604644775390625e-06
22,5.9604644775390625e-06
23,7.152557373046875e-06
24,5.9604644775390625e-06
25,5.9604644775390625e-06
26,6.198883056640625e-06
27,5.9604644775390625e-06
28,6.9141387939453125e-06
29,6.9141387939453125e-06
30,6.198883056640625e-06
