Size (n*n),Runtime
1,5.412101745605469e-05
2,4.0531158447265625e-06
3,1.9073486328125e-06
4,1.1920928955078125e-06
5,6.198883056640625e-06
6,4.76837158203125e-06
7,5.0067901611328125e-06
8,5.245208740234375e-06
9,4.0531158447265625e-06
10,5.0067901611328125e-06
11,5.0067901611328125e-06
12,2.86102294921875e-06
13,2.86102294921875e-06
14,2.86102294921875e-06
15,3.0994415283203125e-06
16,2.6226043701171875e-06
17,3.0994415283203125e-06
18,4.0531158447265625e-06
19,3.814697265625e-06
20,4.291534423828125e-06
21,4.76837158203125e-06
22,5.245208740234375e-06
23,5.0067901611328125e-06
24,5.9604644775390625e-06
25,5.7220458984375e-06
26,6.9141387939453125e-06
27,7.867813110351562e-06
28,8.106231689453125e-06
29,7.867813110351562e-06
30,1.430511474609375e-05
31,9.775161743164062e-06
32,9.059906005859375e-06
33,1.0013580322265625e-05
34,1.0967254638671875e-05
35,1.6927719116210938e-05
36,1.2159347534179688e-05
37,1.2874603271484375e-05
38,1.3113021850585938e-05
39,1.3828277587890625e-05
40,1.9311904907226562e-05
41,1.5020370483398438e-05
42,1.621246337890625e-05
43,1.5735626220703125e-05
44,1.6927719116210938e-05
45,2.5272369384765625e-05
46,1.8835067749023438e-05
47,1.9311904907226562e-05
48,1.8835067749023438e-05
49,2.002716064453125e-05
50,3.0040740966796875e-05
51,2.193450927734375e-05
52,2.3126602172851562e-05
53,2.384185791015625e-05
54,2.4080276489257812e-05
55,4.1961669921875e-05
56,2.7179718017578125e-05
57,2.6941299438476562e-05
58,2.6941299438476562e-05
59,2.9087066650390625e-05
60,4.220008850097656e-05
61,2.9802322387695312e-05
62,3.0994415283203125e-05
63,3.2901763916015625e-05
64,3.3855438232421875e-05
65,3.504753112792969e-05
66,6.413459777832031e-05
67,3.814697265625e-05
68,3.790855407714844e-05
69,6.103515625e-05
70,4.1961669921875e-05
71,4.076957702636719e-05
72,4.1961669921875e-05
73,6.198883056640625e-05
74,4.506111145019531e-05
75,4.601478576660156e-05
76,4.696846008300781e-05
77,8.821487426757812e-05
78,4.982948303222656e-05
79,7.510185241699219e-05
80,5.1975250244140625e-05
81,5.2928924560546875e-05
82,5.507469177246094e-05
83,8.082389831542969e-05
84,5.7220458984375e-05
85,8.392333984375e-05
86,6.008148193359375e-05
87,6.103515625e-05
88,6.175041198730469e-05
89,0.00010704994201660156
90,6.29425048828125e-05
91,0.00014591217041015625
92,6.985664367675781e-05
93,6.818771362304688e-05
94,6.890296936035156e-05
95,0.0001342296600341797
96,7.390975952148438e-05
97,7.295608520507812e-05
98,7.414817810058594e-05
99,7.605552673339844e-05
100,0.00014495849609375
101,8.106231689453125e-05
102,0.00014829635620117188
103,8.392333984375e-05
104,0.00017499923706054688
105,8.702278137207031e-05
106,8.606910705566406e-05
107,8.797645568847656e-05
108,0.00014901161193847656
109,9.298324584960938e-05
110,0.00014495849609375
111,9.608268737792969e-05
112,0.00014495849609375
113,0.00010013580322265625
114,0.0001659393310546875
115,0.00010418891906738281
116,0.00015783309936523438
117,0.00010704994201660156
118,0.00016188621520996094
119,0.00011110305786132812
120,0.00017309188842773438
121,0.00011491775512695312
122,0.0001678466796875
123,0.00011801719665527344
124,0.0001919269561767578
125,0.00011801719665527344
126,0.0001780986785888672
127,0.00012111663818359375
128,0.00012111663818359375
129,0.0001239776611328125
130,0.00019407272338867188
131,0.00012922286987304688
132,0.00020599365234375
133,0.00013303756713867188
134,0.000202178955078125
135,0.00013685226440429688
136,0.00021004676818847656
137,0.0001399517059326172
138,0.0002167224884033203
139,0.0002162456512451172
140,0.0002219676971435547
141,0.0002269744873046875
142,0.00024819374084472656
143,0.00022482872009277344
144,0.0002338886260986328
145,0.0002262592315673828
146,0.0002269744873046875
147,0.00023698806762695312
148,0.00024819374084472656
149,0.00024080276489257812
150,0.0002651214599609375
151,0.00024080276489257812
152,0.0002448558807373047
153,0.0002570152282714844
154,0.0002658367156982422
155,0.0002682209014892578
156,0.0002627372741699219
157,0.0002560615539550781
158,0.00029087066650390625
159,0.0002872943878173828
160,0.0002753734588623047
161,0.0002999305725097656
162,0.00027489662170410156
163,0.0002868175506591797
164,0.0003018379211425781
165,0.00028896331787109375
166,0.00029587745666503906
167,0.0002930164337158203
168,0.00032782554626464844
169,0.00030112266540527344
170,0.00031185150146484375
171,0.0003039836883544922
172,0.0003039836883544922
173,0.0003371238708496094
174,0.0003199577331542969
175,0.00031828880310058594
176,0.00032210350036621094
177,0.0003592967987060547
178,0.0003337860107421875
179,0.00040221214294433594
180,0.0003409385681152344
181,0.0003609657287597656
182,0.000354766845703125
183,0.0003581047058105469
184,0.00035572052001953125
185,0.00038123130798339844
186,0.0003609657287597656
187,0.0003788471221923828
188,0.00038504600524902344
189,0.00037598609924316406
190,0.00038886070251464844
191,0.00038814544677734375
192,0.0004191398620605469
193,0.0003898143768310547
194,0.00039505958557128906
195,0.00041985511779785156
196,0.00040912628173828125
197,0.0004208087921142578
198,0.00040221214294433594
199,0.00043702125549316406
200,0.0004208087921142578
201,0.0004279613494873047
202,0.0004448890686035156
203,0.00043892860412597656
204,0.0004417896270751953
205,0.0004630088806152344
206,0.0004520416259765625
207,0.0005469322204589844
208,0.0004749298095703125
209,0.00046896934509277344
210,0.00048613548278808594
211,0.0005009174346923828
212,0.00047206878662109375
213,0.0004699230194091797
214,0.000530242919921875
215,0.0005221366882324219
216,0.0005092620849609375
217,0.0004930496215820312
218,0.0004971027374267578
219,0.0005300045013427734
220,0.0005159378051757812
221,0.0005228519439697266
222,0.0005400180816650391
223,0.0005271434783935547
224,0.0005521774291992188
225,0.0005438327789306641
226,0.0005440711975097656
227,0.0005571842193603516
228,0.0005481243133544922
229,0.0005819797515869141
230,0.0005571842193603516
231,0.0005507469177246094
232,0.0005810260772705078
233,0.0006880760192871094
234,0.0006189346313476562
235,0.0005931854248046875
236,0.0005979537963867188
237,0.0005970001220703125
238,0.0005979537963867188
239,0.0006229877471923828
240,0.0006060600280761719
241,0.0006229877471923828
242,0.0006191730499267578
243,0.0006399154663085938
244,0.0006306171417236328
245,0.0007112026214599609
246,0.0006380081176757812
247,0.0006651878356933594
248,0.0006530284881591797
249,0.0007102489471435547
250,0.0006618499755859375
251,0.00067901611328125
252,0.0006847381591796875
253,0.0006880760192871094
254,0.0006809234619140625
255,0.0006890296936035156
256,0.0006959438323974609
257,0.0007448196411132812
258,0.0006940364837646484
259,0.0007588863372802734
260,0.0007071495056152344
261,0.0007498264312744141
262,0.0007193088531494141
263,0.0007569789886474609
264,0.0007269382476806641
265,0.0007948875427246094
266,0.0007488727569580078
267,0.0007679462432861328
268,0.0007617473602294922
269,0.0007638931274414062
270,0.0007791519165039062
271,0.000782012939453125
272,0.0010056495666503906
273,0.0009210109710693359
274,0.0008771419525146484
275,0.0009171962738037109
276,0.0008392333984375
277,0.0010528564453125
278,0.0008919239044189453
279,0.0009069442749023438
280,0.0009801387786865234
281,0.0008280277252197266
282,0.0008578300476074219
283,0.0009069442749023438
284,0.0008320808410644531
